Ref,Value,Footprint
C1,10uF,Capacitor_SMD:C_1206_3216Metric
C10,2.2uF,Capacitor_SMD:C_0805_2012Metric
C11,2.2uF,Capacitor_SMD:C_0805_2012Metric
C12,0.1uF,Capacitor_SMD:C_0805_2012Metric
C13,10uF,Capacitor_SMD:C_1206_3216Metric
C14,0.1uF,Capacitor_SMD:C_0805_2012Metric
C15,0.1uF,Capacitor_SMD:C_0805_2012Metric
C16,10uF,Capacitor_SMD:C_1206_3216Metric
C2,0.1uF,Capacitor_SMD:C_0805_2012Metric
C3,10uF,Capacitor_SMD:C_1206_3216Metric
C4,0.1uF,Capacitor_SMD:C_0805_2012Metric
C5,10uF,Capacitor_SMD:C_1206_3216Metric
C6,0.1uF,Capacitor_SMD:C_0805_2012Metric
C7,10uF,Capacitor_SMD:C_1206_3216Metric
C8,0.1uF,Capacitor_SMD:C_0805_2012Metric
C9,0.1uF,Capacitor_SMD:C_0805_2012Metric
Ca,1nF,Capacitor_SMD:C_0805_2012Metric
Cin,0.1uF,Capacitor_SMD:C_0805_2012Metric
Cli,1uF,Capacitor_SMD:C_0805_2012Metric
Clo,1uF,Capacitor_SMD:C_0805_2012Metric
Col,2.2nF,Capacitor_SMD:C_0805_2012Metric
Cor,2.2nF,Capacitor_SMD:C_0805_2012Metric
Cout,1uF,Capacitor_SMD:C_0805_2012Metric
Cr,1uF,Capacitor_SMD:C_0805_2012Metric
FB1,FerriteBead,Inductor_SMD:L_0805_2012Metric
J1,Guitar_6.35mm,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical
J2,Line_out,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical
J3,RPi5_GPIO,Connector_PinHeader_2.54mm:PinHeader_2x20_P2.54mm_Vertical
R1,10k,Resistor_SMD:R_0805_2012Metric
R2,10k,Resistor_SMD:R_0805_2012Metric
RV1,100k,Potentiometer_THT:Trimmer_Bourns_3296W_Vertical
Rbias,1M,Resistor_SMD:R_0805_2012Metric
Rf,10k,Resistor_SMD:R_0805_2012Metric
Rg,10k,Resistor_SMD:R_0805_2012Metric
Rol,470,Resistor_SMD:R_0805_2012Metric
Ror,470,Resistor_SMD:R_0805_2012Metric
Rs,1k,Resistor_SMD:R_0805_2012Metric
U1,OPA1662,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm
U2,PCM1808,Package_SO:TSSOP-14_4.4x5mm_P0.65mm
U3,PCM5102A,Package_SO:TSSOP-20_4.4x6.5mm_P0.65mm
U4,AP2112K-3.3,Package_TO_SOT_SMD:SOT-23-5
